Start sensors
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Print values
Press start
Sensor 0: 97.51
Sensor 1: -30.20
Sensor 2: 438.26
Sensor 3: -70.22
Sensor 0: 82.85
Sensor 1: 7.52
Sensor 2: 624.53
Sensor 3: -33.35
Down edge started
Sensor 0: 114.28
Sensor 1: -92.10
Sensor 2: 317.22
Sensor 3: -89.46
Sensor 0: 140.37
Sensor 1: -116.27
Sensor 2: 121.68
Sensor 3: -106.94
Down edge ended
Press success
Sensor 0: 216.77
Sensor 1: -122.20
Sensor 2: 154.01
Sensor 3: 73.37
Sensor 0: 166.84
Sensor 1: -88.55
Sensor 2: 283.06
Sensor 3: -33.35
Sensor 0: 115.69
Sensor 1: -43.37
Sensor 2: 599.43
Sensor 3: -33.35
Sensor 0: 162.84
Sensor 1: -52.69
Sensor 2: 627.35
Sensor 3: 178.28
Sensor 0: 162.84
Sensor 1: -88.55
Sensor 2: 288.23
Sensor 3: 72.36
Sensor 0: 166.84
Sensor 1: -52.69
Sensor 2: 218.83
Sensor 3: 256.58
Sensor 0: 369.39
Sensor 1: 33.43
Sensor 2: 216.40
Sensor 3: 214.26
Sensor 0: 104.45
Sensor 1: 124.72
Sensor 2: 247.94
Sensor 3: 189.51
Sensor 0: 71.67
Sensor 1: 33.43
Sensor 2: 288.23
Sensor 3: -11.66
Sensor 0: 168.37
Sensor 1: 168.01
Sensor 2: 417.57
Sensor 3: -4.18
Sensor 0: 449.94
Sensor 1: -53.80
Sensor 2: 111.29
Sensor 3: -13.98
Sensor 0: 492.61
Sensor 1: -59.06
Sensor 2: 169.51
Sensor 3: 83.75
Sensor 0: 212.09
Sensor 1: 258.51
Sensor 2: 518.53
Sensor 3: -80.18
Sensor 0: 133.43
Sensor 1: 315.95
Sensor 2: 426.38
Sensor 3: -104.41
Sensor 0: 212.09
Sensor 1: 178.28
Sensor 2: 261.34
Sensor 3: 86.25
Sensor 0: 449.94
Sensor 1: 343.09
Sensor 2: 164.78
Sensor 3: -4.18
Up edge started
Sensor 0: 1658.98
Sensor 1: 355.95
Sensor 2: 100.30
Sensor 3: 437.28
Up edge ended
Press start
Sensor 0: 1078.76
Sensor 1: 206.87
Sensor 2: 84.91
Sensor 3: 203.96
Sensor 0: 1096.16
Sensor 1: 339.43
Sensor 2: 75.85
Sensor 3: -75.46
Sensor 0: 1583.55
Sensor 1: 339.43
Sensor 2: 20.04
Sensor 3: -223.73
Sensor 0: 1674.89
Sensor 1: 343.09
Sensor 2: -55.91
Sensor 3: -213.55
Sensor 0: 1011.87
Sensor 1: 1435.34
Sensor 2: -26.33
Sensor 3: -162.52
Down edge started
Sensor 0: 489.50
Sensor 1: 402.36
Sensor 2: 260.28
Sensor 3: 366.36
Sensor 0: 571.06
Sensor 1: -7.55
Sensor 2: 75.85
Sensor 3: -75.46
Down edge ended
Press success
Sensor 0: 656.89
Sensor 1: -4.21
Sensor 2: 75.85
Sensor 3: -75.46
Up edge started
Sensor 0: 568.31
Sensor 1: -3.39
Sensor 2: 894.00
Sensor 3: 1347.82
Up edge ended
Press start
Sensor 0: 306.94
Sensor 1: -22.11
Sensor 2: 715.96
Sensor 3: 792.03
Sensor 0: 206.73
Sensor 1: -2.63
Sensor 2: 674.52
Sensor 3: 423.82
Sensor 0: 256.70
Sensor 1: 29.99
Sensor 2: 819.41
Sensor 3: 505.51
Sensor 0: 674.86
Sensor 1: -3.39
Sensor 2: 1041.54
Sensor 3: 717.58
Sensor 0: 568.31
Sensor 1: -2.63
Sensor 2: 829.39
Sensor 3: 921.15
Sensor 0: 1487.61
Sensor 1: 15.84
Sensor 2: 819.41
Sensor 3: 877.19
Down edge started
Sensor 0: 1467.34
Sensor 1: 11.18
Sensor 2: 157.46
Sensor 3: 936.68
Sensor 0: 799.18
Sensor 1: 20.71
Sensor 2: 382.94
Sensor 3: 820.32
Down edge ended
Press success
Sensor 0: 256.51
Sensor 1: 29.99
Sensor 2: 801.23
Sensor 3: 820.32
Sensor 0: 190.75
Sensor 1: 70.79
Sensor 2: 871.18
Sensor 3: 820.32
Sensor 0: 176.79
Sensor 1: 72.86
Sensor 2: 762.98
Sensor 3: 820.32
Sensor 0: 146.77
Sensor 1: 603.69
Sensor 2: 557.94
Sensor 3: -104.92
Sensor 0: 107.80
Sensor 1: 315.07
Sensor 2: 213.70
Sensor 3: -98.25
Sensor 0: 290.36
Sensor 1: 6.53
Sensor 2: 90.56
Sensor 3: -92.05
Sensor 0: 190.75
Sensor 1: 497.39
Sensor 2: 13.26
Sensor 3: -58.66
Sensor 0: 190.75
Sensor 1: 850.50
Sensor 2: -63.96
Sensor 3: -92.05
Sensor 0: 290.36
Sensor 1: 897.01
Sensor 2: -103.30
Sensor 3: -33.79
Up edge started
Sensor 0: 1415.70
Sensor 1: 513.61
Sensor 2: -94.35
Sensor 3: -51.16
Up edge ended
Press start
Sensor 0: 388.75
Sensor 1: 56.18
Sensor 2: 137.44
Sensor 3: -51.16
Sensor 0: 179.06
Sensor 1: -17.55
Sensor 2: 13.26
Sensor 3: -33.79
Sensor 0: 164.04
Sensor 1: -21.07
Sensor 2: 13.26
Sensor 3: -29.56
Sensor 0: 119.76
Sensor 1: -56.08
Sensor 2: 639.67
Sensor 3: 348.46
Down edge started
Sensor 0: 94.09
Sensor 1: -81.34
Sensor 2: 272.60
Sensor 3: 46.90
Sensor 0: 94.04
Sensor 1: -89.39
Sensor 2: 128.22
Sensor 3: -58.76
Down edge ended
Press success
Sensor 0: 99.12
Sensor 1: -93.09
Sensor 2: 80.87
Sensor 3: -93.31
Sensor 0: 103.90
Sensor 1: -97.53
Sensor 2: 80.79
Sensor 3: -100.03
Sensor 0: 106.91
Sensor 1: -100.84
Sensor 2: 85.02
Sensor 3: -104.31
Sensor 0: 108.05
Sensor 1: -102.15
Sensor 2: 87.87
Sensor 3: -106.39
Sensor 0: 108.34
Sensor 1: -102.33
Sensor 2: 89.59
Sensor 3: -106.89
Sensor 0: 108.68
Sensor 1: -102.48
Sensor 2: 91.83
Sensor 3: -107.02
Sensor 0: 109.39
Sensor 1: -102.97
Sensor 2: 92.73
Sensor 3: -107.34
Stopping SensorReader
Stopping DataProcessor
Stopping ChoptopServer
Goodbye!
